2020-08-30 10:29:04,b'Students are Being Forced to Give #JEEMains and #NEET  during such a dangerous pandemic when all the nations have c\xe2\x80\xa6 https://t.co/52sqLzSr9j'
2020-08-30 09:55:54,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 09:39:16,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 09:24:18,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:59:38,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:58:12,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:57:18,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:56:25,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:55:57,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:54:57,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:54:31,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:54:19,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:53:43,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:53:43,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:53:16,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:53:06,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:53:04,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
